,Gastrocnemius,Tibialis Anterior,Soleus,Vastus Medialis,Vastus Lateralis,Rectus Femoris,Biceps Femoris,Semitendinosus,Gracilis,Gluteus Medius
27416,0.31907555,0.1385323,0.68532777,0.06855028,0.17143306,0.12611006,0.10042713,0.072727196,0.28503782,0.03608381
27417,0.2401246,0.115920104,0.56784,0.064024076,0.16056696,0.12621441,0.099616475,0.074211776,0.32445693,0.036574677
27418,0.18322048,0.0919362,0.4755826,0.057026096,0.14295197,0.120705314,0.099693015,0.07777905,0.35500097,0.038925227
27419,0.1241247,0.07484199,0.38579398,0.050969422,0.12729953,0.11730766,0.09730687,0.0803035,0.38635918,0.03991846
27420,0.07299302,0.058298532,0.27847335,0.045353066,0.10671943,0.11080823,0.09258514,0.07941413,0.41057977,0.04049308
27421,0.048710234,0.047246914,0.19876122,0.044092752,0.09557708,0.112428635,0.09327592,0.084112324,0.41196004,0.043027442
27422,0.03538306,0.049637847,0.1326751,0.045298718,0.08304995,0.11932825,0.09987813,0.0994404,0.4014455,0.050543614
27423,0.026854467,0.057010446,0.0763503,0.045219358,0.0642905,0.124421135,0.09390647,0.105937675,0.3838892,0.05406257
27424,0.025183162,0.08521223,0.051084865,0.048292655,0.054005377,0.13124366,0.0905409,0.11217833,0.3550751,0.059396923
27425,0.024461105,0.14074263,0.041467506,0.046435602,0.044230185,0.12365663,0.083003335,0.10830203,0.31250352,0.060778394
27426,0.027212767,0.20136459,0.04181767,0.045417875,0.041191697,0.115975164,0.07605927,0.100335576,0.27156892,0.063872695
27427,0.029110866,0.2572138,0.04467165,0.043802764,0.03988767,0.11174797,0.06730178,0.08678715,0.23482604,0.06785947
27428,0.02897698,0.32122847,0.049554806,0.04419758,0.03906726,0.11469939,0.05973006,0.07586938,0.20554388,0.07059997
27429,0.028241992,0.3754932,0.053430047,0.046819244,0.040521473,0.124752395,0.057428047,0.07060204,0.18242119,0.074898
27430,0.028568525,0.41414145,0.05566093,0.049684286,0.04218453,0.1354175,0.05660842,0.06763856,0.16758744,0.08130699
27431,0.028013326,0.4431175,0.05498046,0.0486492,0.042393733,0.1374301,0.05255049,0.062028307,0.15931518,0.08432971
27432,0.028223366,0.45957223,0.056218863,0.046327807,0.043290682,0.13154757,0.048184633,0.055837974,0.1624535,0.08136469
27433,0.028453467,0.47067392,0.05709446,0.045424763,0.045272823,0.122848704,0.04575543,0.050435055,0.17599621,0.0761168
27434,0.029788442,0.47997475,0.058390338,0.045008592,0.046901263,0.11098239,0.04474639,0.04762639,0.18879458,0.07261878
27435,0.030690886,0.48956996,0.05823687,0.045244336,0.04830668,0.10134938,0.04402152,0.046343695,0.19070536,0.07246126
27436,0.030548852,0.49930257,0.05693186,0.044965334,0.049249567,0.09395622,0.042495392,0.04587297,0.18326758,0.07420119
27437,0.03032229,0.5107883,0.055415217,0.0440683,0.04977308,0.088323876,0.041075688,0.045952376,0.17381881,0.07659919
27438,0.030230988,0.52346677,0.054649606,0.04323397,0.050338943,0.083472125,0.040545523,0.046901453,0.16454211,0.07844288
27439,0.030702181,0.53519416,0.054582145,0.042130418,0.050244555,0.08002399,0.04085551,0.048135668,0.15504192,0.079297066
27440,0.031718146,0.54551905,0.05477741,0.040924665,0.049132258,0.0773159,0.041434087,0.049411763,0.14481221,0.079589844
27441,0.032649074,0.55269635,0.054532416,0.040326767,0.048224084,0.075541936,0.042445727,0.05084651,0.13419124,0.0798718
27442,0.03264913,0.5515881,0.052631482,0.040048923,0.04791806,0.07342365,0.043017402,0.051711068,0.12105565,0.080093406
